table_name,field_name,field_type,field_title,count
content,_link,text,_link,67
content,_link_main,text,_link_main,67
content,dataApertura,date,dataApertura,67
content,dataFineRaccolta,date,dataFineRaccolta,67
content,dataFineValidita,date,dataFineValidita,67
content,dataGazzetta,date,dataGazzetta,67
content,dataInizioRaccolta,date,dataInizioRaccolta,67
content,dataInizioValidita,date,dataInizioValidita,67
content,dataIns,date,dataIns,67
content,dataUltimoAgg,date,dataUltimoAgg,67
content,descrizione,text,descrizione,67
content,descrizioneBreve,text,descrizioneBreve,67
content,estremi,integer,estremi,67
content,id,number,id,67
content,titoloLeggeCostituzionale,text,titoloLeggeCostituzionale,67
content,titolo,text,titolo,67
content,supportata,boolean,supportata,67
content,sostenitori,number,sostenitori,67
content,sito,text,sito,60
content,logo,boolean,logo,59
content,quesito,boolean,quesito,67
content,quorum,number,quorum,67
content,idDecCatIniziativa_dataFineValidita,date,idDecCatIniziativa_dataFineValidita,67
content,idDecCatIniziativa_dataInizioValidita,date,idDecCatIniziativa_dataInizioValidita,67
content,idDecCatIniziativa_descrizione,text,idDecCatIniziativa_descrizione,67
content,idDecCatIniziativa_id,number,idDecCatIniziativa_id,67
content,idDecCatIniziativa_nome,text,idDecCatIniziativa_nome,67
content,idDecStatoIniziativa_dataFineValidita,date,idDecStatoIniziativa_dataFineValidita,67
content,idDecStatoIniziativa_dataInizioValidita,date,idDecStatoIniziativa_dataInizioValidita,67
content,idDecStatoIniziativa_descrizione,text,idDecStatoIniziativa_descrizione,67
content,idDecStatoIniziativa_id,number,idDecStatoIniziativa_id,67
content,idDecStatoIniziativa_nome,text,idDecStatoIniziativa_nome,67
content,idDecStatoLogo_dataFineValidita,date,idDecStatoLogo_dataFineValidita,59
content,idDecStatoLogo_dataInizioValidita,date,idDecStatoLogo_dataInizioValidita,59
content,idDecStatoLogo_descrizione,text,idDecStatoLogo_descrizione,59
content,idDecStatoLogo_id,number,idDecStatoLogo_id,59
content,idDecStatoLogo_nome,text,idDecStatoLogo_nome,59
content,idDecTipoIniziativa_dataFineValidita,date,idDecTipoIniziativa_dataFineValidita,67
content,idDecTipoIniziativa_dataInizioValidita,date,idDecTipoIniziativa_dataInizioValidita,67
content,idDecTipoIniziativa_descrizione,text,idDecTipoIniziativa_descrizione,67
content,idDecTipoIniziativa_id,number,idDecTipoIniziativa_id,67
content,idDecTipoIniziativa_nome,text,idDecTipoIniziativa_nome,67
content,dataChiusura,date,dataChiusura,32
main,_link,text,_link,1
main,resultCode,number,resultCode,1
main,resultDescription,text,resultDescription,1
main,infoPaginazione_elementCount,number,infoPaginazione_elementCount,1
main,infoPaginazione_pageIndex,number,infoPaginazione_pageIndex,1
main,infoPaginazione_pageSize,number,infoPaginazione_pageSize,1
